Rank,Player,Cl,Ht,Pos,G,REB,RPG,Year
106,"Boubacar Toure, Eastern Mich. (MAC)",Jr.,6-11,C,31,243,7.8,2019
107,"Travis Munnings, ULM (Sun Belt)",Sr.,6-6,F,35,274,7.8,2019
108,"Jayveous McKinnis, Jackson St. (SWAC)",Fr.,6-7,F,29,227,7.8,2019
109,"Anthony Lamb, Vermont (America East)",Jr.,6-6,F,32,250,7.8,2019
110,"Sandro Mamukelashvili, Seton Hall (Big East)",So.,6-11,F,34,265,7.8,2019
110,"Elijah Thomas, Clemson (ACC)",Sr.,6-9,F,34,265,7.8,2019
112,"Dererk Pardon, Northwestern (Big Ten)",Sr.,6-8,C,32,249,7.8,2019
112,"Jack Williams, Rice (C-USA)",Sr.,6-8,F,32,249,7.8,2019
114,"Elijah Childs, Bradley (MVC)",So.,6-8,F,35,272,7.8,2019
114,"Rapolas Ivanauskas, Colgate (Patriot)",Jr.,6-10,F,35,272,7.8,2019
116,"Zacarry Douglas, N.C. Central (MEAC)",Sr.,6-8,F,34,264,7.8,2019
117,"Dwight Wilson, James Madison (CAA)",So.,6-8,F,32,248,7.8,2019
118,"James Banks III, Georgia Tech (ACC)",Jr.,6-10,C,31,240,7.7,2019
119,"Mladen Armus, ETSU (SoCon)",So.,6-10,F,33,255,7.7,2019
120,"Savion Flagg, Texas A&M (SEC)",So.,6-7,G,32,247,7.7,2019
121,"Tyrique Jones, Xavier (Big East)",Jr.,6-9,F,34,262,7.7,2019
122,"Jayce Johnson, Utah (Pac-12)",Jr.,7-0,F,29,223,7.7,2019
123,"Dennis Tunstall, Towson (CAA)",Jr.,6-8,F,32,246,7.7,2019
124,"Samir Sehic, Tulane (AAC)",Jr.,6-9,F,31,238,7.7,2019
125,"Lamar Stevens, Penn St. (Big Ten)",Jr.,6-8,F,32,245,7.7,2019
125,"Akwasi Yeboah, Stony Brook (America East)",Sr.,6-5,G,32,245,7.7,2019
127,"Jordan Nwora, Louisville (ACC)",So.,6-7,F,34,260,7.6,2019
128,"Tyler Cook, Iowa (Big Ten)",Jr.,6-9,C,33,252,7.6,2019
129,"Christian Lutete, UMass Lowell (America East)",Jr.,6-4,F,32,244,7.6,2019
129,"Chris Silva, South Carolina (SEC)",Sr.,6-9,F,32,244,7.6,2019
131,"Jaylen Hoard, Wake Forest (ACC)",Fr.,6-8,F,31,236,7.6,2019
132,"Tacko Fall, UCF (AAC)",Sr.,7-6,C,33,251,7.6,2019
133,"RJ Barrett, Duke (ACC)",Fr.,6-7,F,38,289,7.6,2019
134,"Cameron Jackson, Wofford (SoCon)",Sr.,6-8,F,35,266,7.6,2019
135,"Osun Osunniyi, St. Bonaventure (Atlantic 10)",Fr.,6-10,C,34,258,7.6,2019
136,"Abayomi Iyiola, Stetson (ASUN)",So.,6-9,F,31,235,7.6,2019
137,"Christian Cunningham, Jacksonville St. (OVC)",Sr.,6-7,F,32,242,7.6,2019
137,"Eric Williams Jr., Duquesne (Atlantic 10)",So.,6-6,G,32,242,7.6,2019
139,"Malik Fitts, Saint Mary's (CA) (WCC)",So.,6-8,F,34,257,7.6,2019
139,"Trhae Mitchell, South Alabama (Sun Belt)",Jr.,6-6,F,34,257,7.6,2019
141,"Ky Bowman, Boston College (ACC)",Jr.,6-1,G,31,234,7.5,2019
142,"Kai Mitchell, Sam Houston (Southland)",Jr.,6-7,F,33,249,7.5,2019
143,"Kerry Blackshear, Virginia Tech (ACC)",Jr.,6-9,F,35,264,7.5,2019
143,"PJ Washington, Kentucky (SEC)",So.,6-8,F,35,264,7.5,2019
145,"George Blagojevic, Hartford (America East)",Sr.,6-7,F,32,241,7.5,2019
146,"Moses Greenwood, Southeastern La. (Southland)",Sr.,6-7,F,33,248,7.5,2019
146,"Tahjai Teague, Ball St. (MAC)",Jr.,6-8,F,33,248,7.5,2019
148,"B.J. Stith, Old Dominion (C-USA)",Sr.,6-5,G,35,263,7.5,2019
149,"Grant Williams, Tennessee (SEC)",Jr.,6-7,F,37,278,7.5,2019
150,"Noah Dickerson, Washington (Pac-12)",Sr.,6-8,F,36,270,7.5,2019
150,"Jordan Goodwin, Saint Louis (Atlantic 10)",So.,6-3,G,36,270,7.5,2019
150,"Montae Glenn, Ga. Southern (Sun Belt)",Sr.,6-8,F,30,225,7.5,2019
153,"Kevin McKay, Central Mich. (MAC)",Jr.,6-5,G,35,262,7.5,2019
154,"Kevin Marfo, Quinnipiac (MAAC)",Jr.,6-9,F,25,187,7.5,2019
155,"Oshae Brissett, Syracuse (ACC)",So.,6-8,F,34,254,7.5,2019
156,"Jessie Govan, Georgetown (Big East)",Sr.,6-10,C,33,246,7.5,2019
157,"Christian Barrett, Lamar University (Southland)",Jr.,6-6,F,27,201,7.4,2019
157,"Tulio Da Silva, Missouri St. (MVC)",Jr.,6-8,F,27,201,7.4,2019
157,"Kevin Obanor, Oral Roberts (Summit League)",Fr.,6-8,F,27,201,7.4,2019
160,"Jonathan Kasibabu, Fairfield (MAAC)",Sr.,6-8,C,31,230,7.4,2019
161,"Nick Perkins, Buffalo (MAC)",Sr.,6-8,F,36,267,7.4,2019
162,"Damani Applewhite, South Carolina St. (MEAC)",Jr.,6-8,F,34,252,7.4,2019
163,"Mike Watkins, Penn St. (Big Ten)",Jr.,6-9,C,27,200,7.4,2019
164,"Chris Howell, Jackson St. (SWAC)",Sr.,6-4,G,32,237,7.4,2019
164,"Justin Miller, Louisiana (Sun Belt)",Jr.,6-6,F,32,237,7.4,2019
166,"Josh Ajayi, South Alabama (Sun Belt)",Jr.,6-7,F,33,244,7.4,2019
167,"Cameron McGriff, Oklahoma St. (Big 12)",Jr.,6-7,F,32,236,7.4,2019
167,"Jare'l Spellman, Sacred Heart (NEC)",Sr.,6-10,F,32,236,7.4,2019
169,"Marcus Santos-Silva, VCU (Atlantic 10)",So.,6-7,F,33,243,7.4,2019
170,"Marvin Prochet, Niagara (MAAC)",Sr.,6-7,F,29,213,7.3,2019
171,"Josh LeBlanc, Georgetown (Big East)",Fr.,6-7,F,33,242,7.3,2019
172,"Josh Ferguson, Winthrop (Big South)",Jr.,6-8,C,30,219,7.3,2019
172,"Zane Najdawi, The Citadel (SoCon)",Sr.,6-7,F,30,219,7.3,2019
174,"Eli Pepper, Lipscomb (ASUN)",Sr.,6-8,F,37,270,7.3,2019
175,"Jon Axel Gudmunsson, Davidson (Atlantic 10)",Jr.,6-4,G,34,248,7.3,2019
176,"Xavier Tillman, Michigan St. (Big Ten)",So.,6-8,F,39,284,7.3,2019
177,"Romone Saunders, Wagner (NEC)",Sr.,6-3,G,30,217,7.2,2019
178,"Torin Dorn, NC State (ACC)",Sr.,6-6,G,36,260,7.2,2019
178,"Dylan Ostekowski, Texas (Big 12)",Sr.,6-9,F,36,260,7.2,2019
178,"Robert Franks, Washington St. (Pac-12)",Sr.,6-9,F,27,195,7.2,2019
181,"Sam Hauser, Marquette (Big East)",Jr.,6-8,G,34,245,7.2,2019
181,"Reggie Perry, Mississippi St. (SEC)",Fr.,6-10,F,34,245,7.2,2019
181,"Naz Reid, LSU (SEC)",Fr.,6-10,F,34,245,7.2,2019
181,"Mark Vital, Baylor (Big 12)",So.,6-5,F,34,245,7.2,2019
185,"Baylee Steele, Utah Valley (WAC)",So.,6-11,C,35,252,7.2,2019
186,"Xavier Hill-Mais, Oakland (Horizon)",Jr.,6-7,F,33,237,7.2,2019
186,"Naji Marshall, Xavier (Big East)",So.,6-7,F,33,237,7.2,2019
188,"Eugene Omoruyi, Rutgers (Big Ten)",Jr.,6-6,F,28,201,7.2,2019
188,"Nik Popovic, Boston College (ACC)",Jr.,6-11,F,28,201,7.2,2019
190,"Cameron Krutwig, Loyola Chicago (MVC)",So.,6-9,C,34,244,7.2,2019
191,"Reid Travis, Kentucky (SEC)",Sr.,6-8,F,32,229,7.2,2019
192,"Zion Cousins, Howard (MEAC)",So.,6-8,F,34,243,7.1,2019
192,"Kristian Doolittle, Oklahoma (Big 12)",Jr.,6-7,F,34,243,7.1,2019
194,"Stanley Jr. Davis, Morgan St. (MEAC)",Jr.,6-5,G,29,207,7.1,2019
195,"Josh Sharma, Stanford (Pac-12)",Sr.,7-0,C,31,221,7.1,2019
195,"Ryan Swan, Air Force (Mountain West)",Jr.,6-8,F,31,221,7.1,2019
197,"CJ Elleby, Washington St. (Pac-12)",Fr.,6-6,G,32,227,7.1,2019
198,"Ernest Aflakpui, Temple (AAC)",Sr.,6-10,C,30,212,7.1,2019
199,"Shamarkus Kennedy, McNeese (Southland)",Jr.,6-8,F,31,219,7.1,2019
200,"Grant Golden, Richmond (Atlantic 10)",Jr.,6-10,F,33,233,7.1,2019
201,"Andrew Fleming, Maine (America East)",Jr.,6-7,F,28,197,7,2019
202,"Bryson Lockley, Kennesaw St. (ASUN)",Jr.,0-0,F,32,225,7,2019
203,"Zachary Simmons, North Texas (C-USA)",So.,6-10,F,33,232,7,2019
204,"Daniel Oturu, Minnesota (Big Ten)",Fr.,6-10,C,35,246,7,2019
205,"Jon Teske, Michigan (Big Ten)",Jr.,7-1,C,37,259,7,2019
205,"Vance Jackson, New Mexico (Mountain West)",Fr.,6-8,F,32,224,7,2019
205,"Sal Nuhu, Portland St. (Big Sky)",Jr.,6-8,F,32,224,7,2019
208,"Kyvon Davenport, Memphis (AAC)",Sr.,6-8,F,36,251,7,2019
209,"Gary Blackston, Prairie View (SWAC)",Sr.,6-2,G,34,237,7,2019
210,"Caleb Stewart, Binghamton (America East)",Sr.,6-9,F,33,230,7,2019
211,"Ed Croswell, La Salle (Atlantic 10)",Fr.,6-8,F,31,216,7,2019
212,"Tyler Kohl, Central Conn. St. (NEC)",Sr.,6-5,F,27,188,7,2019
213,"Kevin Samuel, TCU (Big 12)",Fr.,6-11,C,37,257,6.9,2019
214,"Lacey James, NIU (MAC)",Fr.,6-9,F,33,229,6.9,2019
215,"DeAndre Abram, Milwaukee (Horizon)",Jr.,6-8,G,31,215,6.9,2019
216,"Jabari McGhee, Austin Peay (OVC)",Sr.,6-7,F,30,208,6.9,2019
217,"Isaiah Roby, Nebraska (Big Ten)",Jr.,6-8,F,35,242,6.9,2019
218,"Christian Keeling, Charleston So. (Big South)",Jr.,6-3,G,34,235,6.9,2019
219,"Milik Yarbrough, Illinois St. (MVC)",Sr.,6-6,F,33,228,6.9,2019
220,"Trey Moses, Ball St. (MAC)",Sr.,6-9,C,32,221,6.9,2019
220,"Kaleb Wesson, Ohio St. (Big Ten)",So.,6-9,F,32,221,6.9,2019
222,"Malik Moore, USC Upstate (Big South)",Sr.,6-6,F,28,193,6.9,2019
223,"Martin Krampelj, Creighton (Big East)",Jr.,6-9,F,35,241,6.9,2019
224,"Tre Scott, Cincinnati (AAC)",Jr.,6-8,F,35,240,6.9,2019
225,"Dwayne Sutton, Louisville (ACC)",Jr.,6-5,F,34,233,6.9,2019
226,"Terrell Brown Jr., Seattle U (WAC)",So.,6-1,G,33,226,6.8,2019
227,"Chuma Okeke, Auburn (SEC)",So.,6-8,F,38,260,6.8,2019
228,"Jaquan Dotson, Savannah St. (MEAC)",Jr.,6-4,G,31,212,6.8,2019
229,"Keve Aluma, Wofford (SoCon)",So.,6-9,F,35,239,6.8,2019
230,"Jalen Smith, Maryland (Big Ten)",Fr.,6-10,F,33,225,6.8,2019
231,"Elston Jones, UC Irvine (Big West)",Sr.,6-10,C,37,252,6.8,2019
232,"Lewis Sullivan, UAB (C-USA)",Sr.,6-7,F,35,238,6.8,2019
232,"John Carroll, Hartford (America East)",Sr.,6-8,F,30,204,6.8,2019
232,"Chris Knight, Dartmouth (Ivy League)",So.,6-6,F,30,204,6.8,2019
235,"Andrew Eudy, Campbell (Big South)",Sr.,6-7,C,33,224,6.8,2019
236,"Javon Bess, Saint Louis (Atlantic 10)",Sr.,6-6,G,36,244,6.8,2019
236,"Cheikh Mbacke Diong, UNLV (Mountain West)",So.,6-11,F,27,183,6.8,2019
238,"Doug Taylor, Ohio (MAC)",Sr.,6-9,F,31,210,6.8,2019
239,"Zach Braxton, Weber St. (Big Sky)",Sr.,6-9,C,30,203,6.8,2019
240,"Raiquan Clark, LIU (NEC)",Sr.,6-4,G,32,216,6.8,2019
240,"Tarkus Ferguson, UIC (Horizon)",Jr.,6-4,G,32,216,6.8,2019
240,"Byron Frohnen, UTSA (C-USA)",Jr.,6-6,F,32,216,6.8,2019
243,"Chier Maker, Idaho St. (Big Sky)",Jr.,6-7,F,30,202,6.7,2019
243,"Rayjon Tucker, Little Rock (Sun Belt)",Jr.,6-5,G,30,202,6.7,2019
245,"Jordan Hunter, Saint Mary's (CA) (WCC)",Sr.,6-10,C,34,228,6.7,2019
246,"Andres Ibarguen, UT Arlington (Sun Belt)",Jr.,6-5,F,27,181,6.7,2019
247,"Trey Landers, Dayton (Atlantic 10)",Jr.,6-5,G,32,214,6.7,2019
247,"Anthony Lawrence, Miami (FL) (ACC)",Sr.,6-7,G,32,214,6.7,2019
247,"Simisola Shittu, Vanderbilt (SEC)",Fr.,6-10,F,32,214,6.7,2019
250,"Kavell Bigby-Williams, LSU (SEC)",Sr.,6-11,F,35,234,6.7,2019
250,"Makhtar Gueye, UAB (C-USA)",So.,6-10,F,35,234,6.7,2019
Rank,Player,Cl,Ht,Pos,G,REB,RPG,Year
1,"Kevin Marfo, Quinnipiac (MAAC)",Sr.,6-9,F,30,400,13.3,2020
2,"John Mooney, Notre Dame (ACC)",Sr.,6-9,F,31,394,12.7,2020
3,"Willie Jackson, Toledo (MAC)",Sr.,6-6,F,32,383,12,2020
4,"Cletrell Pope, Bethune-Cookman (MEAC)",Sr.,6-9,F,29,345,11.9,2020
5,"James Butler, Drexel (CAA)",Jr.,6-8,F,33,387,11.7,2020
6,"E.J. Anosike, Sacred Heart (NEC)",Jr.,6-7,F,33,383,11.6,2020
7,"Elyjah Goss, IUPUI (Horizon)",Jr.,6-7,F,32,369,11.5,2020
8,"Daniel Oturu, Minnesota (Big Ten)",So.,6-10,C,31,349,11.3,2020
9,"Tyrique Jones, Xavier (Big East)",Sr.,6-9,F,32,354,11.1,2020
10,"Terry Taylor, Austin Peay (OVC)",Jr.,6-5,F,33,362,11,2020
11,"Shamarkus Kennedy, McNeese (Southland)",Sr.,6-8,F,31,339,10.9,2020
12,"Nico Carvacho, Colorado St. (Mountain West)",Sr.,6-11,C,32,345,10.8,2020
13,"Precious Achiuwa, Memphis (AAC)",Fr.,6-9,F,31,334,10.8,2020
14,"Paul Reed, DePaul (Big East)",Jr.,6-9,F,29,310,10.7,2020
15,"Tre Scott, Cincinnati (AAC)",Sr.,6-8,F,30,316,10.5,2020
16,"Nathan Knight, William & Mary (CAA)",Sr.,6-10,C,32,337,10.5,2020
17,"Jalen Smith, Maryland (Big Ten)",So.,6-10,F,31,326,10.5,2020
18,"Justin Bean, Utah St. (Mountain West)",So.,6-7,F,34,356,10.5,2020
19,"Udoka Azubuike, Kansas (Big 12)",Sr.,7-0,C,31,324,10.5,2020
20,"Hasahn French, Saint Louis (Atlantic 10)",Jr.,6-7,F,30,312,10.4,2020
