Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
130,"Jeremiah Jefferson, Nicholls (Southland)",Sr.,6-2,G,31,194,98,46,532,17.2,2019
131,"Jaevin Cumberland, Oakland (Horizon)",Jr.,6-2,G,33,173,109,111,566,17.2,2019
132,"Miye Oni, Yale (Ivy League)",Jr.,6-7,G,29,167,56,107,497,17.1,2019
133,"Jason Burnell, Jacksonville St. (OVC)",Sr.,6-7,F,32,193,29,133,548,17.1,2019
134,"Darnell Edge, FDU (NEC)",Sr.,6-1,G,34,190,92,110,582,17.1,2019
135,"Jordan Caroline, Nevada (Mountain West)",Sr.,6-7,F,33,193,46,130,562,17,2019
136,"Ian DuBose, Houston Christian (Southland)",So.,6-3,G,30,173,53,111,510,17,2019
136,"Donovan Fields, Cal Poly (Big West)",Sr.,5-10,G,29,189,40,75,493,17,2019
138,"Corey Davis Jr., Houston (AAC)",Sr.,6-1,G,37,202,111,113,628,17,2019
139,"Jordan Nwora, Louisville (ACC)",So.,6-7,F,34,198,77,104,577,17,2019
140,"Kamar Baldwin, Butler (Big East)",Jr.,6-1,G,33,211,42,96,560,17,2019
141,"Marcus Graves, Sacramento St. (Big Sky)",Sr.,6-0,G,31,181,50,114,526,17,2019
141,"Kobe Webster, Western Ill. (Summit League)",So.,6-0,G,31,195,76,60,526,17,2019
143,"Brandon Clarke, Gonzaga (WCC)",Jr.,6-8,F,37,257,4,109,627,16.9,2019
144,"Daniel Gafford, Arkansas (SEC)",So.,6-11,F,32,214,0,114,542,16.9,2019
144,"Takal Molson, Canisius (MAAC)",So.,6-5,G,32,176,55,135,542,16.9,2019
146,"Jon Axel Gudmunsson, Davidson (Atlantic 10)",Jr.,6-4,G,34,177,60,161,575,16.9,2019
147,"Caleb Daniels, Tulane (AAC)",So.,6-4,G,30,174,47,112,507,16.9,2019
148,"Cameron Johnson, North Carolina (ACC)",Sr.,6-8,G,36,211,96,90,608,16.9,2019
149,"Jalen Adams, UConn (AAC)",Sr.,6-3,G,26,169,43,58,439,16.9,2019
150,"KZ Okpala, Stanford (Pac-12)",So.,0-0,F,29,170,32,116,488,16.8,2019
151,"Sedrick Barefield, Utah (Pac-12)",Sr.,6-2,G,31,167,93,94,521,16.8,2019
152,"Nych Smith, Winthrop (Big South)",Sr.,5-10,G,28,167,49,87,470,16.8,2019
153,"Davauhnte Turner, Saint Peter's (MAAC)",Sr.,6-0,G,32,183,71,100,537,16.8,2019
154,"B.J. Stith, Old Dominion (CUSA)",Sr.,6-5,G,35,207,73,100,587,16.8,2019
155,"Kevin McClain, Belmont (OVC)",Sr.,6-3,G,33,185,70,113,553,16.8,2019
156,"Tayler Persons, Ball St. (MAC)",Sr.,6-3,G,33,199,45,108,551,16.7,2019
157,"Akwasi Yeboah, Stony Brook (America East)",Sr.,6-5,G,32,183,66,102,534,16.7,2019
158,"Milik Yarbrough, Illinois St. (MVC)",Sr.,6-6,F,33,202,33,113,550,16.7,2019
159,"Nick Garth, Lamar University (Southland)",Sr.,6-0,G,31,167,82,100,516,16.6,2019
160,"Amir Coffey, Minnesota (Big Ten)",Jr.,6-8,G,36,198,41,162,599,16.6,2019
161,"Damani Applewhite, South Carolina St. (MEAC)",Jr.,6-8,F,34,198,4,165,565,16.6,2019
162,"Ahmad Caver, Old Dominion (CUSA)",Sr.,6-2,G,35,196,70,119,581,16.6,2019
163,"J.R. Lynch, Hartford (America East)",Sr.,5-10,G,33,176,69,126,547,16.6,2019
164,"Seth Dugan, Western Mich. (MAC)",Sr.,7-0,C,32,209,2,110,530,16.6,2019
165,"Shawn Roundtree, Central Mich. (MAC)",Sr.,0-0,G,34,167,76,153,563,16.6,2019
166,"Eric Paschall, Villanova (Big East)",Sr.,6-7,F,36,195,70,135,595,16.5,2019
167,"Romeo Langford, Indiana (Big Ten)",Fr.,6-6,G,32,177,34,140,528,16.5,2019
167,"Max Mahoney, Boston U. (Patriot)",Jr.,6-8,F,32,222,0,84,528,16.5,2019
169,"Admiral Schofield, Tennessee (SEC)",Sr.,6-6,G,37,238,74,60,610,16.5,2019
170,"Tyler Seibring, Elon (CAA)",Sr.,6-8,F,32,191,77,68,527,16.5,2019
171,"Romone Saunders, Wagner (NEC)",Sr.,6-3,G,30,143,64,144,494,16.5,2019
172,"Jason Carter, Ohio (MAC)",So.,6-8,F,31,180,23,127,510,16.5,2019
173,"Matt Lewis, James Madison (CAA)",So.,6-5,G,33,168,60,146,542,16.4,2019
173,"Nijal Pearson, Texas St. (Sun Belt)",Jr.,6-5,G,33,192,80,78,542,16.4,2019
175,"Stuckey Mosley, James Madison (CAA)",Sr.,6-4,G,33,194,95,58,541,16.4,2019
176,"James Batemon, LMU (CA) (WCC)",Sr.,6-1,G,34,174,43,166,557,16.4,2019
177,"Troy Harper, Drexel (CAA)",Sr.,6-1,G,27,130,23,159,442,16.4,2019
178,"Josh Ajayi, South Alabama (Sun Belt)",Jr.,6-7,F,33,197,16,130,540,16.4,2019
179,"Josh Sharkey, Samford (SoCon)",Jr.,5-10,G,33,175,30,159,539,16.3,2019
179,"Jordan Burns, Colgate (Patriot)",So.,6-0,G,30,167,78,78,490,16.3,2019
181,"Quinton Rose, Temple (AAC)",Jr.,6-8,F,33,204,41,89,538,16.3,2019
182,"Jayden Gardner, East Carolina (AAC)",Fr.,6-7,F,31,166,2,171,505,16.3,2019
183,"Justin Forrest, App State (Sun Belt)",So.,6-2,G,30,150,64,123,487,16.2,2019
184,"Jacob Gilyard, Richmond (Atlantic 10)",So.,5-9,G,31,177,74,74,502,16.2,2019
185,"Nike Sibande, Miami (OH) (MAC)",So.,6-4,G,32,166,76,110,518,16.2,2019
186,"Nickeil Alexander-Walker, Virginia Tech (ACC)",So.,6-5,G,34,190,58,112,550,16.2,2019
187,"Jaylen Nowell, Washington (Pac-12)",So.,6-4,G,36,218,51,95,582,16.2,2019
188,"Chris Lykes, Miami (FL) (ACC)",So.,5-7,G,32,171,61,114,517,16.2,2019
189,"Jordan Lyons, Furman (SoCon)",Jr.,5-11,G,33,185,105,58,533,16.2,2019
190,"Luguentz Dort, Arizona St. (Pac-12)",Fr.,6-4,G,34,174,54,145,547,16.1,2019
191,"DeVon Baker, UNC Asheville (Big South)",Fr.,6-2,G,31,182,36,98,498,16.1,2019
191,"Stephen Thompson Jr., Oregon St. (Pac-12)",Sr.,6-4,G,31,183,61,71,498,16.1,2019
193,"Nico Carvacho, Colorado St. (Mountain West)",Jr.,6-11,C,32,216,0,82,514,16.1,2019
194,"Coby White, North Carolina (ACC)",Fr.,6-5,G,35,188,82,104,562,16.1,2019
195,"Luwane Pipkins, Massachusetts (Atlantic 10)",Jr.,5-11,G,25,125,48,103,401,16,2019
196,"Kevin Larkin, Delaware St. (MEAC)",Sr.,6-5,G,26,161,43,52,417,16,2019
