Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
40,"James Bishop, George Washington (Atlantic 10)",So.,6-2,G,17,111,25,78,325,19.1,2021
41,"Trayce Jackson-Davis, Indiana (Big Ten)",So.,6-9,F,27,183,0,150,516,19.1,2021
42,"Troymain Crosby, Alcorn (SWAC)",Sr.,6-4,G,15,94,8,90,286,19.1,2021
43,"Tyler Thomas, Sacred Heart (NEC)",So.,6-3,G,17,108,47,61,324,19.1,2021
44,"Drew Timme, Gonzaga (WCC)",So.,6-10,F,32,237,6,128,608,19,2021
44,"Kendric Davis, SMU (AAC)",Jr.,5-11,G,17,114,25,70,323,19,2021
46,"A.J. Plitzuweit, South Dakota (Summit League)",So.,6-2,G,22,133,52,99,417,19,2021
47,"Keaston Willis, UIW (Southland)",So.,6-3,G,20,125,41,88,379,19,2021
48,"Hayden Brown, The Citadel (SoCon)",Jr.,6-6,F,24,159,26,107,451,18.8,2021
49,"Tyson Walker, Northeastern (CAA)",So.,6-0,G,19,123,40,71,357,18.8,2021
50,"Tre Mitchell, Massachusetts (Atlantic 10)",So.,6-9,C,13,83,15,63,244,18.8,2021
51,"Souley Boum, UTEP (CUSA)",Jr.,6-3,G,24,130,60,130,450,18.8,2021
52,"Kevin Obanor, Oral Roberts (Summit League)",Jr.,6-8,F,28,178,56,112,524,18.7,2021
53,"Corey Kispert, Gonzaga (WCC)",Sr.,6-7,F,32,209,91,86,595,18.6,2021
54,"Grant Sherfield, Nevada (Mountain West)",So.,6-2,G,26,153,47,130,483,18.6,2021
55,"Ryan Davis, Vermont (America East)",Jr.,6-8,F,13,95,17,34,241,18.5,2021
56,"Oscar da Silva, Stanford (Pac-12)",Sr.,0-0,F,24,160,14,110,444,18.5,2021
57,"Isaiah Ross, Iona (MAAC)",Sr.,6-4,G,18,115,46,56,332,18.4,2021
58,"Greg Parham, VMI (SoCon)",Sr.,6-4,G,25,167,64,62,460,18.4,2021
59,"Ethan Esposito, Sacramento St. (Big Sky)",Sr.,6-7,F,20,128,9,101,366,18.3,2021
60,"Matthew Hurt, Duke (ACC)",So.,6-9,F,24,164,56,55,439,18.3,2021
61,"Austin Reaves, Oklahoma (Big 12)",Jr.,6-5,G,25,139,32,147,457,18.3,2021
62,"Jayden Gardner, East Carolina (AAC)",Jr.,6-7,F,19,123,3,98,347,18.3,2021
63,"Ahmed Ali, Portland (WCC)",Sr.,5-11,G,17,95,37,82,309,18.2,2021
64,"Marreon Jackson, Toledo (MAC)",Sr.,6-0,G,30,177,86,103,543,18.1,2021
65,"Jahmir Young, Charlotte (CUSA)",So.,6-2,G,25,140,45,126,451,18,2021
66,"Matt Bradley, California (Pac-12)",Jr.,6-4,G,22,130,40,96,396,18,2021
66,"Justin Champagnie, Pittsburgh (ACC)",So.,6-6,F,20,134,23,69,360,18,2021
68,"Eli Scott, LMU (CA) (WCC)",Sr.,6-5,F,22,140,8,107,395,18,2021
69,"Jalen Moore, Oakland (Horizon)",Jr.,5-11,G,30,158,51,170,537,17.9,2021
70,"Travon Broadway Jr., Central Mich. (MAC)",Sr.,6-5,G,18,105,27,85,322,17.9,2021
71,"Bryce Hamilton, UNLV (Mountain West)",Jr.,6-4,G,24,176,35,42,429,17.9,2021
72,"Quentin Grimes, Houston (AAC)",Jr.,6-5,G,30,173,100,89,535,17.8,2021
73,"Riley Grigsby, Seattle U (WAC)",Jr.,6-6,G,21,140,44,50,374,17.8,2021
74,"Buddy Boeheim, Syracuse (ACC)",Jr.,6-5,G,25,161,77,45,444,17.8,2021
75,"Storm Murphy, Wofford (SoCon)",Sr.,5-11,G,24,143,70,70,426,17.8,2021
76,"Isaac Bonton, Washington St. (Pac-12)",Sr.,6-3,G,21,128,39,77,372,17.7,2021
77,"Isiah Brown, Weber St. (Big Sky)",Sr.,6-2,G,23,139,39,90,407,17.7,2021
78,"Kofi Cockburn, Illinois (Big Ten)",So.,7-0,C,31,214,0,120,548,17.7,2021
79,"Elijah Ford, Wagner (NEC)",Sr.,6-5,G,18,128,2,60,318,17.7,2021
80,"Charles Bassey, Western Ky. (CUSA)",Jr.,6-11,C,28,194,18,88,494,17.6,2021
81,"Kaiden Rice, The Citadel (SoCon)",Sr.,6-6,G,25,151,92,47,441,17.6,2021
82,"Jalen Crutcher, Dayton (Atlantic 10)",Sr.,6-1,G,24,144,48,87,423,17.6,2021
83,"Jeenathan Williams, Buffalo (MAC)",Jr.,6-5,F,25,177,34,51,439,17.6,2021
84,"Sandro Mamukelashvili, Seton Hall (Big East)",Sr.,6-11,F,27,168,42,95,473,17.5,2021
84,"Colbey Ross, Pepperdine (WCC)",Sr.,6-1,G,27,149,43,132,473,17.5,2021
86,"Dontarius James, Jacksonville (ASUN)",Jr.,6-7,F,22,128,55,73,384,17.5,2021
87,"Moses Wright, Georgia Tech (ACC)",Sr.,6-9,F,25,175,12,73,435,17.4,2021
88,"Taylor Funk, Saint Joseph's (Atlantic 10)",Sr.,6-8,F,20,119,52,57,347,17.4,2021
89,"Jamaree Bouyea, San Francisco (WCC)",Sr.,6-2,G,25,173,40,46,432,17.3,2021
90,"Tyrn Flowers, LIU (NEC)",Sr.,6-9,F,18,121,27,42,311,17.3,2021
91,"Jamison Battle, George Washington (Atlantic 10)",So.,6-7,F,15,94,34,37,259,17.3,2021
92,"Jr. Clay, Tennessee Tech (OVC)",Jr.,6-0,G,24,144,58,68,414,17.2,2021
92,"Rayshon Harrison, Presbyterian (Big South)",Fr.,6-4,G,20,116,41,72,345,17.2,2021
94,"Timmy Allen, Utah (Pac-12)",Jr.,6-6,F,25,155,11,110,431,17.2,2021
94,"Amari Davis, Green Bay (Horizon)",So.,6-3,G,25,159,23,90,431,17.2,2021
96,"Kessler Edwards, Pepperdine (WCC)",Jr.,6-8,F,27,164,45,92,465,17.2,2021
96,"Brandon McKissic, Kansas City (Summit League)",Sr.,6-3,G,18,120,30,40,310,17.2,2021
98,"De'Torrion Ware, Morgan St. (MEAC)",Jr.,6-4,G,22,120,54,84,378,17.2,2021
99,"Tyreke Key, Indiana St. (MVC)",Sr.,6-2,G,23,133,31,98,395,17.2,2021
100,"Tanner Groves, Eastern Wash. (Big Sky)",Jr.,6-9,F,24,153,22,84,412,17.2,2021
101,"Cedric Russell, Louisiana (Sun Belt)",Sr.,6-2,G,26,152,76,66,446,17.2,2021
102,"Eugene Omoruyi, Oregon (Pac-12)",Sr.,6-6,F,28,174,41,91,480,17.1,2021
102,"Javonte Perkins, Saint Louis (Atlantic 10)",Sr.,6-6,F,21,132,38,58,360,17.1,2021
104,"Cam Davis, Navy (Patriot)",Sr.,6-1,G,15,90,20,57,257,17.1,2021
105,"Chris Duarte, Oregon (Pac-12)",Sr.,6-6,G,26,160,61,64,445,17.1,2021
106,"Isaiah Wong, Miami (FL) (ACC)",So.,6-3,G,27,155,50,102,462,17.1,2021
107,"Mark Freeman, Tennessee St. (OVC)",So.,5-10,G,21,117,31,94,359,17.1,2021
108,"Antonio Daye, Jr., FIU (CUSA)",Jr.,6-1,G,22,132,24,88,376,17.1,2021
108,"Kellan Grady, Davidson (Atlantic 10)",Sr.,6-5,G,22,136,58,46,376,17.1,2021
110,"Zach Cooks, NJIT (America East)",Sr.,5-9,G,19,116,31,61,324,17.1,2021
111,"Derrick Alston, Boise St. (Mountain West)",Sr.,6-8,G,28,157,68,95,477,17,2021
112,"Tray Maddox Jr., Cal St. Fullerton (Big West)",Jr.,6-4,G,15,90,41,34,255,17,2021
113,"Mason Faulkner, Western Caro. (SoCon)",Sr.,6-1,G,22,120,33,99,372,16.9,2021
114,"Nate Watson, Providence (Big East)",Sr.,6-10,C,26,180,0,79,439,16.9,2021
115,"Tevian Jones, Southern Utah (Big Sky)",Jr.,6-7,G,24,136,60,73,405,16.9,2021
116,"Rylan Bergersen, Central Ark. (Southland)",Sr.,6-6,G,23,127,38,96,388,16.9,2021
117,"David Duke, Providence (Big East)",Jr.,6-5,G,26,144,51,99,438,16.8,2021
118,"Moses Moody, Arkansas (SEC)",Fr.,6-6,G,32,165,58,151,539,16.8,2021
119,"Douglas Wilson, South Dakota St. (Summit League)",Sr.,6-7,F,19,120,0,80,320,16.8,2021
120,"Filip Rebraca, North Dakota (Summit League)",Jr.,6-9,F,26,174,15,74,437,16.8,2021
121,"Deion Hammond, Monmouth (MAAC)",Sr.,6-4,G,20,107,40,82,336,16.8,2021
122,"Jahlil Jenkins, FDU (NEC)",Sr.,6-0,G,24,137,49,80,403,16.8,2021
123,"Carlik Jones, Louisville (ACC)",Sr.,6-0,G,19,113,18,75,319,16.8,2021
124,"DeAndre Gholston, Milwaukee (Horizon)",Jr.,6-5,G,22,127,46,69,369,16.8,2021
125,"Keaton Wallace, UTSA (CUSA)",Sr.,6-3,G,26,157,59,63,436,16.8,2021
126,"Malachi Smith, Chattanooga (SoCon)",So.,6-4,G,25,151,36,81,419,16.8,2021
126,"Shahada Wells, UT Arlington (Sun Belt)",Jr.,6-0,G,25,154,53,58,419,16.8,2021
128,"Alex Morales, Wagner (NEC)",Sr.,6-6,G,20,124,20,67,335,16.8,2021
128,"Jordan Burns, Colgate (Patriot)",Sr.,6-0,G,16,88,30,62,268,16.8,2021
130,"Jared Butler, Baylor (Big 12)",Jr.,6-3,G,30,177,77,71,502,16.7,2021
131,"Trevon Faulkner, Northern Ky. (Horizon)",Jr.,6-3,G,25,141,30,105,417,16.7,2021
132,"Iverson Molinar, Mississippi St. (SEC)",So.,6-3,G,30,183,44,90,500,16.7,2021
132,"Gaige Prim, Missouri St. (MVC)",Sr.,6-8,F,24,160,0,80,400,16.7,2021
134,"Peter Kiss, Bryant (NEC)",Jr.,6-5,G,22,128,36,74,366,16.6,2021
135,"Loudon Love, Wright St. (Horizon)",Sr.,6-8,C,24,162,0,75,399,16.6,2021
136,"AJ Lawson, South Carolina (SEC)",Jr.,6-6,G,21,117,59,56,349,16.6,2021
137,"C.J. Keyser, N.C. Central (MEAC)",Sr.,6-3,G,14,88,18,38,232,16.6,2021
138,"Jalen Johnson, Alabama A&M (SWAC)",So.,6-7,F,15,104,0,40,248,16.5,2021
138,"Zane Martin, Towson (CAA)",Sr.,6-4,G,15,93,17,45,248,16.5,2021
140,"Michael Weathers, Texas Southern (SWAC)",Sr.,6-2,G,24,138,19,101,396,16.5,2021
141,"Naz Bohannon, Youngstown St. (Horizon)",Sr.,6-5,F,25,172,1,67,412,16.5,2021
142,"Teddy Allen, Nebraska (Big Ten)",Jr.,6-6,G,22,131,44,56,362,16.5,2021
143,"Jaylen Minnett, IUPUI (Horizon)",Sr.,6-1,G,16,89,41,44,263,16.4,2021
144,"Jaylen Forbes, Tulane (AAC)",So.,6-5,G,23,107,56,108,378,16.4,2021
145,"Gerrale Gates, Holy Cross (Patriot)",Jr.,6-6,F,14,89,0,52,230,16.4,2021
146,"E.J. Stephens, Lafayette (Patriot)",Sr.,6-3,G,15,81,18,66,246,16.4,2021
147,"Evan Mobley, Southern California (Pac-12)",Fr.,7-0,F,33,197,12,134,540,16.4,2021
148,"Duane Washington Jr., Ohio St. (Big Ten)",Jr.,6-3,G,31,171,89,76,507,16.4,2021
149,"K.J. Walton, Ball St. (MAC)",Sr.,6-3,G,20,127,0,73,327,16.4,2021
150,"Desmond Cambridge, Nevada (Mountain West)",Jr.,6-4,G,26,147,69,62,425,16.3,2021
151,"Trendon Watford, LSU (SEC)",So.,6-7,F,28,170,18,99,457,16.3,2021
152,"Tyson Etienne, Wichita St. (AAC)",So.,6-2,G,22,105,65,84,359,16.3,2021
153,"Spencer Rodgers, Kennesaw St. (ASUN)",Jr.,6-4,G,24,137,62,55,391,16.3,2021
154,"Quincy Olivari, Rice (CUSA)",So.,6-2,G,28,151,88,65,455,16.2,2021
155,"Troy Baxter Jr, Morgan St. (MEAC)",Sr.,6-9,F,21,116,42,67,341,16.2,2021
156,"Emanuel Miller, Texas A&M (SEC)",So.,6-7,F,17,100,0,76,276,16.2,2021
157,"Jarred Godfrey, Purdue Fort Wayne (Horizon)",Jr.,6-5,G,23,129,43,72,373,16.2,2021
158,"Luke Loewe, William & Mary (CAA)",Sr.,6-4,G,17,98,25,54,275,16.2,2021
159,"Ishmael El-Amin, Ball St. (MAC)",Sr.,6-1,G,23,130,53,59,372,16.2,2021
160,"E.J. Liddell, Ohio St. (Big Ten)",So.,6-6,F,29,158,27,126,469,16.2,2021
161,"Ledarrius Brewer, ETSU (SoCon)",Jr.,6-5,G,24,142,59,45,388,16.2,2021
162,"Camren Wynter, Drexel (CAA)",Jr.,6-2,G,20,123,34,43,323,16.2,2021
163,"Zach Freemantle, Xavier (Big East)",So.,6-9,F,21,138,25,38,339,16.1,2021
164,"Anthony Tarke, Coppin St. (MEAC)",Sr.,6-6,G,22,121,25,88,355,16.1,2021
165,"Javante McCoy, Boston U. (Patriot)",Sr.,6-5,G,16,96,15,51,258,16.1,2021
166,"Blake Francis, Richmond (Atlantic 10)",Sr.,6-0,G,20,117,49,39,322,16.1,2021
167,"David Jean-Baptiste, Chattanooga (SoCon)",Sr.,6-1,G,22,133,59,29,354,16.1,2021
168,"Alex Barcello, BYU (WCC)",Sr.,6-2,G,27,149,53,83,434,16.1,2021
169,"Austin Butler, Holy Cross (Patriot)",Sr.,6-5,G,16,98,27,34,257,16.1,2021
170,"Tre Mann, Florida (SEC)",So.,6-5,G,24,133,45,74,385,16,2021
171,"Jaquori McLaughlin, UC Santa Barbara (Big West)",Sr.,6-4,G,26,138,42,99,417,16,2021
172,"D.J. Stewart Jr., Mississippi St. (SEC)",So.,6-6,G,33,186,52,104,528,16,2021
172,"Javonte Smart, LSU (SEC)",Jr.,6-4,G,28,162,70,54,448,16,2021
172,"Johnny Juzang, UCLA (Pac-12)",So.,6-6,G,27,160,55,57,432,16,2021
172,"Sam Hauser, Virginia (ACC)",Sr.,6-8,F,25,147,63,43,400,16,2021
172,"Michael Green III, Bryant (NEC)",So.,5-11,G,21,103,40,90,336,16,2021
172,"Chauncey Hawkins, St. Francis Brooklyn (NEC)",Sr.,5-8,G,16,87,21,61,256,16,2021
178,"David Roddy, Colorado St. (Mountain West)",So.,6-5,F,28,155,20,116,446,15.9,2021
179,"Shaun Doss Jr., Ark.-Pine Bluff (SWAC)",Jr.,6-5,G,25,130,27,111,398,15.9,2021
180,"Bodie Hume, Northern Colo. (Big Sky)",Jr.,6-6,F,21,116,53,49,334,15.9,2021
181,"Tajion Jones, UNC Asheville (Big South)",Jr.,6-5,G,20,111,68,28,318,15.9,2021
182,"Eral Penn, LIU (NEC)",Jr.,6-7,F,18,103,10,70,286,15.9,2021
183,"Keon Clergeot, Southeastern La. (Southland)",Sr.,6-1,G,24,98,31,154,381,15.9,2021
184,"MaCio Teague, Baylor (Big 12)",Sr.,6-4,G,30,176,60,64,476,15.9,2021
185,"Makuach Maluach, New Mexico (Mountain West)",Sr.,6-7,G,22,128,24,69,349,15.9,2021
186,"Miles McBride, West Virginia (Big 12)",So.,6-2,G,29,157,46,100,460,15.9,2021
187,"Gavin Kensmil, SFA (Southland)",Sr.,6-7,F,21,122,0,89,333,15.9,2021
188,"Tanner Holden, Wright St. (Horizon)",So.,6-6,G,24,129,13,109,380,15.8,2021
189,"Marcus Zegarowski, Creighton (Big East)",Jr.,6-2,G,29,162,80,55,459,15.8,2021
190,"Dwight Murray, Jr., Rider (MAAC)",Jr.,6-0,G,23,131,35,67,364,15.8,2021
191,"Marques Warrick, Northern Ky. (Horizon)",Fr.,6-2,G,25,146,53,49,394,15.8,2021
192,"Wendell Green Jr., Eastern Ky. (OVC)",Fr.,5-11,G,29,158,48,93,457,15.8,2021
193,"Jordan Miller, George Mason (Atlantic 10)",Jr.,6-6,G,20,118,24,55,315,15.8,2021
194,"Rocky Kreuser, North Dakota St. (Summit League)",Sr.,6-10,F,27,142,48,93,425,15.7,2021
195,"Jeremiah Robinson-Earl, Villanova (Big East)",So.,6-9,F,25,155,23,60,393,15.7,2021
196,"RJ Nembhard, TCU (Big 12)",Jr.,6-4,G,24,128,37,84,377,15.7,2021
197,"Darian Adams, Jacksonville St. (OVC)",Sr.,6-3,G,27,140,62,82,424,15.7,2021
198,"Malik Curry, Old Dominion (CUSA)",Sr.,6-1,G,20,110,19,75,314,15.7,2021
198,"Jason Preston, Ohio (MAC)",Jr.,6-3,G,20,127,32,28,314,15.7,2021
200,"Hunter McIntosh, Elon (CAA)",So.,6-3,G,19,97,52,52,298,15.7,2021
201,"Damion Rosser, New Orleans (Southland)",Sr.,6-4,G,25,155,5,77,392,15.7,2021
202,"Javion Hamlet, North Texas (CUSA)",Sr.,6-4,G,28,152,29,106,439,15.7,2021
203,"Ethan Thompson, Oregon St. (Pac-12)",Sr.,6-5,G,33,161,47,148,517,15.7,2021
203,"Ibi Watson, Dayton (Atlantic 10)",Sr.,6-5,G,24,129,62,56,376,15.7,2021
205,"Jamison Overton, Utah Valley (WAC)",Sr.,6-6,G,19,111,5,70,297,15.6,2021
206,"KJ Williams, Murray St. (OVC)",Jr.,6-8,F,26,164,26,52,406,15.6,2021
207,"Mike Bothwell, Furman (SoCon)",Jr.,6-3,G,25,147,30,66,390,15.6,2021
208,"Bul Kuol, Detroit Mercy (Horizon)",Sr.,6-7,F,22,119,54,51,343,15.6,2021
208,"Trey Woodbury, Utah Valley (WAC)",Jr.,6-4,G,22,117,35,74,343,15.6,2021
210,"Zep Jasper, Col. of Charleston (CAA)",Jr.,6-1,G,19,108,38,42,296,15.6,2021
211,"James Akinjo, Arizona (Pac-12)",Jr.,6-0,G,26,124,53,104,405,15.6,2021
212,"Meikkel Murray, Central Mich. (MAC)",Jr.,6-6,G,23,147,4,60,358,15.6,2021
213,"Ezra Manjon, UC Davis (Big West)",So.,5-11,G,18,99,9,73,280,15.6,2021
214,"Trevion Williams, Purdue (Big Ten)",Jr.,6-9,F,28,191,0,53,435,15.5,2021
215,"Rasir Bolton, Iowa St. (Big 12)",Jr.,6-2,G,21,117,22,70,326,15.5,2021
216,"Mac McClung, Texas Tech (Big 12)",Jr.,6-2,G,29,148,47,107,450,15.5,2021
216,"Darius McGhee, Liberty (ASUN)",Jr.,5-9,G,29,157,95,41,450,15.5,2021
218,"Ramiir Dixon-Conover, Saint Francis (PA) (NEC)",Sr.,6-3,G,18,98,18,65,279,15.5,2021
219,"Quade Green, Washington (Pac-12)",Sr.,6-0,G,25,142,36,66,386,15.4,2021
219,"Noah Gurley, Furman (SoCon)",Jr.,6-8,F,25,146,38,56,386,15.4,2021
219,"Matt Mitchell, San Diego St. (Mountain West)",Sr.,6-6,F,25,116,31,123,386,15.4,2021
222,"Baylor Scheierman, South Dakota St. (Summit League)",So.,6-6,G,23,119,57,60,355,15.4,2021
223,"Jahvon Blair, Georgetown (Big East)",Sr.,6-3,G,25,128,66,62,384,15.4,2021
223,"Troy Green, New Orleans (Southland)",Sr.,6-3,G,25,135,13,101,384,15.4,2021
225,"Aaron Henry, Michigan St. (Big Ten)",Jr.,6-6,F,28,163,24,80,430,15.4,2021
226,"Cameron Johnson, SFA (Southland)",Sr.,6-3,G,21,118,25,61,322,15.3,2021
226,"M.J. Randolph, Florida A&M (SWAC)",Jr.,6-4,G,18,104,2,66,276,15.3,2021
226,"Marcus Weathers, Duquesne (Atlantic 10)",Sr.,6-5,F,18,99,13,65,276,15.3,2021
226,"Ryan Allen, Delaware (CAA)",Sr.,6-2,G,15,78,30,44,230,15.3,2021
226,"Marques Wilson, Lehigh (Patriot)",Sr.,6-4,G,15,90,17,33,230,15.3,2021
231,"Isaiah Stevens, Colorado St. (Mountain West)",So.,6-0,G,28,151,50,77,429,15.3,2021
232,"AJ Walker, Air Force (Mountain West)",Jr.,6-2,G,25,137,52,57,383,15.3,2021
233,"Myreon Jones, Penn St. (Big Ten)",Jr.,6-3,G,25,127,60,68,382,15.3,2021
234,"Josh Mballa, Buffalo (MAC)",Jr.,6-7,F,22,120,5,91,336,15.3,2021
235,"Marvin Johnson, Eastern Ill. (OVC)",Sr.,6-6,G,26,158,26,55,397,15.3,2021
236,"Devontae Shuler, Ole Miss (SEC)",Sr.,6-2,G,27,150,53,59,412,15.3,2021
237,"Jawaun Daniels, Prairie View (SWAC)",Jr.,6-7,G,21,125,36,34,320,15.2,2021
238,"McKinley Wright, Colorado (Pac-12)",Sr.,6-0,G,32,178,28,103,487,15.2,2021
239,"Jose Alvarado, Georgia Tech (ACC)",Sr.,6-0,G,26,141,46,67,395,15.2,2021
240,"Keve Aluma, Virginia Tech (ACC)",Jr.,6-9,F,22,118,20,78,334,15.2,2021
241,"Ty Groce, Eastern Mich. (MAC)",Sr.,6-8,F,18,105,16,47,273,15.2,2021
242,"Josip Vrankic, Santa Clara (WCC)",Sr.,6-8,F,20,106,12,79,303,15.2,2021
243,"Collin Welp, UC Irvine (Big West)",Jr.,6-9,F,27,155,19,80,409,15.1,2021
244,"Eric Ayala, Maryland (Big Ten)",Jr.,6-5,G,29,139,57,103,438,15.1,2021
245,"Tareq Coburn, Hofstra (CAA)",Sr.,6-5,G,21,91,53,82,317,15.1,2021
246,"Damian Chong Qui, Mount St. Mary's (NEC)",Jr.,5-8,G,23,110,37,90,347,15.1,2021
247,"DJ Horne, Illinois St. (MVC)",So.,6-1,G,24,133,61,35,362,15.1,2021
247,"Bryson Williams, UTEP (CUSA)",Sr.,6-8,F,24,141,19,61,362,15.1,2021
249,"Grant Basile, Wright St. (Horizon)",So.,6-9,F,24,137,20,67,361,15,2021
250,"Michael Devoe, Georgia Tech (ACC)",Jr.,6-5,G,26,136,58,61,391,15,2021
251,"Nick Muszynski, Belmont (OVC)",Jr.,6-11,C,27,157,1,91,406,15,2021
252,"Cedric Henderson, Campbell (Big South)",Jr.,6-6,F,27,152,20,81,405,15,2021
252,"Khalil Shabazz, San Francisco (WCC)",Jr.,6-1,G,25,127,62,59,375,15,2021
252,"Brandon Rachal, Tulsa (AAC)",Sr.,6-5,G,23,122,32,69,345,15,2021
252,"Josiah Allick, Kansas City (Summit League)",So.,6-8,F,22,133,16,48,330,15,2021
252,"Myles Carter, Delaware St. (MEAC)",Sr.,6-1,G,18,98,22,52,270,15,2021
252,"Jermaine Jackson Jr., LIU (NEC)",Jr.,5-10,G,15,69,36,51,225,15,2021
258,"Cameron Krutwig, Loyola Chicago (MVC)",Sr.,6-9,C,30,191,0,67,449,15,2021
259,"Davion Buster, Lamar University (Southland)",Jr.,5-10,G,23,116,70,42,344,15,2021
260,"Corey Allen, Georgia St. (Sun Belt)",Sr.,6-2,G,22,110,62,47,329,15,2021
261,"Neemias Queta, Utah St. (Mountain West)",Jr.,7-0,C,29,167,0,99,433,14.9,2021
262,"Jake Stephens, VMI (SoCon)",Jr.,6-8,C,25,122,34,95,373,14.9,2021
263,"Te'Jon Lucas, Milwaukee (Horizon)",Sr.,6-2,G,22,111,25,81,328,14.9,2021
264,"Jared Rhoden, Seton Hall (Big East)",Jr.,6-6,F,27,135,37,95,402,14.9,2021
265,"Devante Carter, Norfolk St. (MEAC)",Sr.,6-3,G,25,135,11,91,372,14.9,2021
266,"Tre King, Eastern Ky. (OVC)",Jr.,6-8,F,28,170,19,57,416,14.9,2021
266,"Cameron Holden, UT Martin (OVC)",Jr.,6-5,F,21,98,10,106,312,14.9,2021
268,"Ron Harper Jr., Rutgers (Big Ten)",Jr.,6-6,G,27,146,45,64,401,14.9,2021
269,"Travis Atson, St. Francis Brooklyn (NEC)",Sr.,6-5,G,19,109,31,33,282,14.8,2021
270,"Pedro Castro, Houston Christian (Southland)",Jr.,6-6,G,25,135,49,52,371,14.8,2021
271,"Joe Wieskamp, Iowa (Big Ten)",Jr.,6-6,G,31,161,73,65,460,14.8,2021
272,"David Jenkins Jr., UNLV (Mountain West)",Jr.,6-2,G,27,137,74,51,399,14.8,2021
273,"Josh Jefferson, Green Bay (Horizon)",Sr.,6-2,G,21,102,48,58,310,14.8,2021
274,"Marcus Williams, Wyoming (Mountain West)",Fr.,6-2,G,25,127,36,79,369,14.8,2021
275,"Fatts Russell, Rhode Island (Atlantic 10)",Sr.,5-10,G,23,94,24,127,339,14.7,2021
276,"Tevin Brown, Murray St. (OVC)",Jr.,6-5,G,26,133,73,44,383,14.7,2021
277,"Amin Adamu, Montana St. (Big Sky)",Sr.,6-4,G,22,121,13,69,324,14.7,2021
277,"Will Carius, Western Ill. (Summit League)",Sr.,6-7,F,22,102,53,67,324,14.7,2021
279,"Ty Gadsden, UNCW (CAA)",Sr.,6-1,G,16,67,33,68,235,14.7,2021
280,"Darius Perry, UCF (AAC)",Sr.,6-2,G,19,89,44,57,279,14.7,2021
281,"Torrey Patton, Cleveland St. (Horizon)",Sr.,6-5,G,27,148,30,70,396,14.7,2021
281,"Elijah Pepper, UC Davis (Big West)",So.,6-3,G,18,95,37,37,264,14.7,2021
283,"Demarkus Lampley, Sam Houston (Southland)",Sr.,6-2,G,28,139,77,54,409,14.6,2021
284,"Ty Gordon, Nicholls (Southland)",Sr.,6-1,G,25,135,63,32,365,14.6,2021
284,"Kobi Nwandu, Niagara (MAAC)",Sr.,6-6,F,20,102,22,66,292,14.6,2021
286,"Jordan Whitfield, Campbell (Big South)",Sr.,6-1,G,27,142,50,60,394,14.6,2021
287,"Orlando Robinson, Fresno St. (Mountain West)",So.,7-0,F,24,117,15,101,350,14.6,2021
288,"Prentiss Hubb, Notre Dame (ACC)",Jr.,6-3,G,26,134,65,46,379,14.6,2021
288,"Andrew Jones, Texas (Big 12)",Jr.,6-4,G,26,128,54,69,379,14.6,2021
290,"Pj Pipes, Green Bay (Horizon)",Sr.,6-2,G,24,117,57,58,349,14.5,2021
291,"Jay Heath, Boston College (ACC)",So.,6-3,G,19,103,42,28,276,14.5,2021
292,"Jose Placer, North Florida (ASUN)",Jr.,6-2,G,23,125,48,36,334,14.5,2021
293,"Jordan Goodwin, Saint Louis (Atlantic 10)",Sr.,6-3,G,21,114,22,54,304,14.5,2021
294,"Dwight Wilson, Ohio (MAC)",Sr.,6-8,F,24,150,0,47,347,14.5,2021
295,"Aaron Wiggins, Maryland (Big Ten)",Jr.,6-6,G,31,165,57,61,448,14.5,2021
296,"Rob Perry, Stetson (ASUN)",So.,6-4,G,27,134,56,65,389,14.4,2021
297,"John Knight III, Southern Utah (Big Sky)",Sr.,6-2,G,23,122,5,82,331,14.4,2021
298,"Keyshawn Bryant, South Carolina (SEC)",Jr.,6-5,F,18,102,6,49,259,14.4,2021
298,"Vado Morse, James Madison (CAA)",Jr.,6-0,G,18,82,42,53,259,14.4,2021
300,"Kyle Lofton, St. Bonaventure (Atlantic 10)",Jr.,6-3,G,21,103,18,78,302,14.4,2021
301,"Charlie Moore, DePaul (Big East)",Sr.,5-11,G,16,85,28,32,230,14.4,2021
302,"Jalen Suggs, Gonzaga (WCC)",Fr.,6-4,G,30,155,35,86,431,14.4,2021
303,"Jordan Schakel, San Diego St. (Mountain West)",Sr.,6-6,G,28,130,83,59,402,14.4,2021
304,"Brandon Rush, FDU (NEC)",So.,6-3,G,23,120,56,34,330,14.3,2021
304,"Keith Williams, Cincinnati (AAC)",Sr.,6-5,G,23,113,25,79,330,14.3,2021
306,"B Artis White, Western Mich. (MAC)",So.,5-9,G,19,92,54,34,272,14.3,2021
307,"Dru Smith, Missouri (SEC)",Sr.,6-3,G,26,125,47,75,372,14.3,2021
308,"Jalen Coleman-Lands, Iowa St. (Big 12)",Sr.,6-4,G,23,120,58,31,329,14.3,2021
309,"R.J. Eytle-Rock, UMBC (America East)",Jr.,6-3,G,20,92,22,80,286,14.3,2021
310,"C.J. Kelly, UAlbany (America East)",Jr.,6-5,G,14,65,27,43,200,14.3,2021
311,"Derek Culver, West Virginia (Big 12)",Jr.,6-10,F,29,149,0,116,414,14.3,2021
