Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
13,"Marreon Jackson, Toledo (MAC)",Sr.,6-0,G,30,178,5.9,2021
14,"Prentiss Hubb, Notre Dame (ACC)",Jr.,6-3,G,26,152,5.8,2021
15,"Te'Jon Lucas, Milwaukee (Horizon)",Sr.,6-2,G,22,128,5.8,2021
16,"Grayson Murphy, Belmont (OVC)",Jr.,6-2,G,28,161,5.8,2021
17,"Xavier Johnson, Pittsburgh (ACC)",Jr.,6-3,G,18,103,5.7,2021
18,"Russell Dean , Hampton (Big South)",So.,6-5,G,25,143,5.7,2021
19,"McKinley Wright, Colorado (Pac-12)",Sr.,6-0,G,32,182,5.7,2021
20,"Paul Scruggs, Xavier (Big East)",Sr.,6-3,G,21,119,5.7,2021
21,"Jordan Hall, Saint Joseph's (Atlantic 10)",Fr.,6-7,F,20,113,5.6,2021
22,"Caleb Burgess, Hofstra (CAA)",So.,6-3,G,23,129,5.6,2021
23,"Teyvion Kirk, UIC (Horizon)",Jr.,6-4,G,22,123,5.6,2021
24,"Davion Mitchell, Baylor (Big 12)",Jr.,6-2,G,30,165,5.5,2021
24,"Ebrima Dibba, Coastal Carolina (Sun Belt)",So.,6-6,G,26,143,5.5,2021
26,"A.J. Lawson, McNeese (Southland)",Sr.,6-5,G,23,126,5.5,2021
27,"Kyle Lofton, St. Bonaventure (Atlantic 10)",Jr.,6-3,G,21,115,5.5,2021
28,"Roman Penn, Drake (MVC)",Sr.,5-11,G,24,131,5.5,2021
29,"Isaiah Stevens, Colorado St. (Mountain West)",So.,6-0,G,28,152,5.4,2021
30,"James Akinjo, Arizona (Pac-12)",Jr.,6-0,G,26,141,5.4,2021
31,"Jovan Blacksher Jr., Grand Canyon (WAC)",So.,5-11,G,24,130,5.4,2021
32,"Tyger Campbell, UCLA (Pac-12)",So.,5-11,G,32,172,5.4,2021
33,"Damian Chong Qui, Mount St. Mary's (NEC)",Jr.,5-8,G,23,123,5.3,2021
33,"Darrion Trammell, Seattle U (WAC)",So.,5-10,G,23,123,5.3,2021
35,"Mike Smith, Michigan (Big Ten)",Sr.,5-11,G,28,149,5.3,2021
36,"Jordan Burns, Colgate (Patriot)",Sr.,6-0,G,16,85,5.3,2021
36,"Jayden Saddler, Southern U. (SWAC)",Jr.,6-1,G,16,85,5.3,2021
38,"Darius Brown II, CSUN (Big West)",Jr.,6-2,G,22,116,5.3,2021
39,"Ayo Dosunmu, Illinois (Big Ten)",Jr.,6-5,G,28,147,5.2,2021
40,"Jaquori McLaughlin, UC Santa Barbara (Big West)",Sr.,6-4,G,26,136,5.2,2021
41,"Marquis Eaton, Arkansas St. (Sun Belt)",Sr.,6-2,G,24,124,5.2,2021
42,"Camren Wynter, Drexel (CAA)",Jr.,6-2,G,20,103,5.2,2021
43,"James Bishop, George Washington (Atlantic 10)",So.,6-2,G,17,87,5.1,2021
44,"Jon Williams, Robert Morris (Horizon)",Sr.,6-1,G,18,92,5.1,2021
45,"Trevell Cunningham, Grambling (SWAC)",Sr.,6-0,G,23,116,5,2021
45,"Jacob Gilyard, Richmond (Atlantic 10)",Sr.,5-9,G,23,116,5,2021
47,"Tommy Kuhse, Saint Mary's (CA) (WCC)",Sr.,6-2,G,24,121,5,2021
48,"Wendell Green Jr., Eastern Ky. (OVC)",Fr.,5-11,G,29,146,5,2021
49,"Scotty Pippen Jr., Vanderbilt (SEC)",So.,6-1,G,22,107,4.9,2021
50,"Marcus Carr, Minnesota (Big Ten)",Jr.,6-1,G,29,141,4.9,2021
51,"Tyson Walker, Northeastern (CAA)",So.,6-0,G,19,92,4.8,2021
52,"Miles McBride, West Virginia (Big 12)",So.,6-2,G,29,140,4.8,2021
53,"Rylan Bergersen, Central Ark. (Southland)",Sr.,6-6,G,23,111,4.8,2021
54,"Mason Faulkner, Western Caro. (SoCon)",Sr.,6-1,G,22,106,4.8,2021
55,"Jalen Finch, Jacksonville St. (OVC)",Jr.,6-1,G,27,130,4.8,2021
56,"Jared Butler, Baylor (Big 12)",Jr.,6-3,G,30,144,4.8,2021
57,"Jalen Pickett, Siena (MAAC)",Jr.,6-4,G,14,67,4.8,2021
58,"Dante Treacy, Robert Morris (Horizon)",Jr.,6-0,G,18,86,4.8,2021
59,"Antoine Davis, Detroit Mercy (Horizon)",Jr.,6-1,G,22,105,4.8,2021
60,"David Duke, Providence (Big East)",Jr.,6-5,G,26,124,4.8,2021
61,"Jalen Crutcher, Dayton (Atlantic 10)",Sr.,6-1,G,24,114,4.8,2021
61,"Isaiah Washington, Long Beach St. (Big West)",Sr.,6-1,G,16,76,4.8,2021
61,"Rahim Ali, Jr., Howard (MEAC)",Fr.,5-11,G,4,19,4.8,2021
64,"Cameron Parker, Montana (Big Sky)",Jr.,6-2,G,28,132,4.7,2021
65,"Antonio Daye, Jr., FIU (CUSA)",Jr.,6-1,G,22,103,4.7,2021
65,"Justin Roberts, Georgia St. (Sun Belt)",Jr.,5-9,G,22,103,4.7,2021
67,"Marvin Johnson, Eastern Ill. (OVC)",Sr.,6-6,G,26,121,4.7,2021
68,"Austin Reaves, Oklahoma (Big 12)",Jr.,6-5,G,25,116,4.6,2021
69,"Hunter Maldonado, Wyoming (Mountain West)",Jr.,6-7,G,25,115,4.6,2021
69,"Collin Gillespie, Villanova (Big East)",Sr.,6-2,G,20,92,4.6,2021
71,"Mark Freeman, Tennessee St. (OVC)",So.,5-10,G,21,96,4.6,2021
72,"Javion Hamlet, North Texas (CUSA)",Sr.,6-4,G,28,127,4.5,2021
73,"Jalen Suggs, Gonzaga (WCC)",Fr.,6-4,G,30,136,4.5,2021
74,"Kihei Clark, Virginia (ACC)",Jr.,5-9,G,25,113,4.5,2021
75,"Zyon Pullin, UC Riverside (Big West)",So.,6-4,G,22,99,4.5,2021
76,"Fatts Russell, Rhode Island (Atlantic 10)",Sr.,5-10,G,23,103,4.5,2021
77,"Carlik Jones, Louisville (ACC)",Sr.,6-0,G,19,85,4.5,2021
78,"M.J. Randolph, Florida A&M (SWAC)",Jr.,6-4,G,18,80,4.4,2021
79,"John Knight III, Southern Utah (Big Sky)",Sr.,6-2,G,23,102,4.4,2021
80,"Ramiir Dixon-Conover, Saint Francis (PA) (NEC)",Sr.,6-3,G,18,79,4.4,2021
81,"Adrian Baldwin Jr., VCU (Atlantic 10)",Fr.,6-0,G,26,114,4.4,2021
81,"Noah Fernandes, Massachusetts (Atlantic 10)",So.,5-11,G,13,57,4.4,2021
83,"David Kachelries, SFA (Southland)",Sr.,6-1,G,21,92,4.4,2021
84,"Reggie Miller, Abilene Christian (Southland)",Sr.,6-0,G,29,127,4.4,2021
85,"Andrew Nembhard, Gonzaga (WCC)",Jr.,6-5,G,32,140,4.4,2021
85,"Chauncey Hawkins, St. Francis Brooklyn (NEC)",Sr.,5-8,G,16,70,4.4,2021
87,"Keishawn Davidson, Tennessee Tech (OVC)",So.,6-2,G,27,118,4.4,2021
87,"CJ Walker, Ohio St. (Big Ten)",Sr.,6-1,G,27,118,4.4,2021
89,"Justin Turner, Bowling Green (MAC)",Sr.,6-4,G,25,109,4.4,2021
90,"Jordan Bohannon, Iowa (Big Ten)",Sr.,6-1,G,31,135,4.4,2021
91,"Alex Barcello, BYU (WCC)",Sr.,6-2,G,27,117,4.3,2021
91,"Storm Murphy, Wofford (SoCon)",Sr.,5-11,G,24,104,4.3,2021
93,"R.J. Johnson, Holy Cross (Patriot)",Fr.,6-1,G,16,69,4.3,2021
94,"Marcus Zegarowski, Creighton (Big East)",Jr.,6-2,G,29,125,4.3,2021
95,"RJ Cole, UConn (Big East)",Jr.,6-1,G,23,99,4.3,2021
95,"Jordan Walker, Tulane (AAC)",Jr.,5-11,G,23,99,4.3,2021
97,"David Sloan, ETSU (SoCon)",Sr.,6-0,G,24,103,4.3,2021
98,"DeJon Jarreau, Houston (AAC)",Sr.,6-5,G,31,133,4.3,2021
99,"Posh Alexander, St. John's (NY) (Big East)",Fr.,6-0,G,25,107,4.3,2021
99,"Ronaldo Segu, Buffalo (MAC)",Jr.,6-0,G,25,107,4.3,2021
99,"Marcus Williams, Wyoming (Mountain West)",Fr.,6-2,G,25,107,4.3,2021
102,"Tevin Brown, Murray St. (OVC)",Jr.,6-5,G,26,111,4.3,2021
103,"Alex Morales, Wagner (NEC)",Sr.,6-6,G,20,85,4.2,2021
103,"Tucker Richardson, Colgate (Patriot)",Jr.,6-5,G,16,68,4.2,2021
105,"Tristen Newton, East Carolina (AAC)",So.,6-5,G,17,72,4.2,2021
106,"Tevin Brewer, FIU (CUSA)",Jr.,5-8,G,26,110,4.2,2021
107,"Carlos Paez, Austin Peay (OVC)",So.,5-10,G,27,114,4.2,2021
108,"Jordan Perkins, N.C. Central (MEAC)",Sr.,6-1,G,14,59,4.2,2021
109,"David DeJulius, Cincinnati (AAC)",Jr.,6-0,G,19,80,4.2,2021
110,"Charlie Moore, DePaul (Big East)",Sr.,5-11,G,16,67,4.2,2021
111,"Neftali Alvarez, Mercer (SoCon)",So.,6-2,G,27,113,4.2,2021
111,"Shavar Reynolds, Seton Hall (Big East)",Sr.,6-2,G,27,113,4.2,2021
113,"Cameron Shelton, Northern Ariz. (Big Sky)",Jr.,6-2,G,22,92,4.2,2021
114,"Andre Curbelo, Illinois (Big Ten)",Fr.,6-1,G,31,129,4.2,2021
115,"Alterique Gilbert, Wichita St. (AAC)",Sr.,6-0,G,22,91,4.1,2021
115,"Tyler Moffe, The Citadel (SoCon)",Sr.,6-1,G,22,91,4.1,2021
117,"Tyree Ihenacho, North Dakota (Summit League)",Fr.,6-4,G,23,95,4.1,2021
117,"Dwight Murray, Jr., Rider (MAAC)",Jr.,6-0,G,23,95,4.1,2021
117,"Giovanni Santiago, Kent St. (MAC)",So.,6-1,G,23,95,4.1,2021
120,"Emmanuel Adedoyin, North Florida (ASUN)",So.,6-2,G,23,94,4.1,2021
121,"Scottie Barnes, Florida St. (ACC)",Fr.,6-9,G,24,98,4.1,2021
122,"Jose Alvarado, Georgia Tech (ACC)",Sr.,6-0,G,26,106,4.1,2021
123,"Jeremiah Williams, Temple (AAC)",Fr.,6-5,G,16,65,4.1,2021
124,"Pierre Crockrell II, Pacific (WCC)",So.,6-0,G,18,73,4.1,2021
125,"Tommy Bruner, USC Upstate (Big South)",So.,6-1,G,21,85,4,2021
125,"Nigel Scantlebury, Central Conn. St. (NEC)",Jr.,6-0,G,21,85,4,2021
125,"Kane Williams, Georgia St. (Sun Belt)",Sr.,6-3,G,21,85,4,2021
128,"Andrew Taylor, Marshall (CUSA)",So.,0-0,G,22,89,4,2021
129,"Devante Carter, Norfolk St. (MEAC)",Sr.,6-3,G,25,101,4,2021
129,"Greg Parham, VMI (SoCon)",Sr.,6-4,G,25,101,4,2021
131,"Matt Coleman III, Texas (Big 12)",Sr.,6-2,G,27,109,4,2021
132,"Isaiah Miller, UNC Greensboro (SoCon)",Sr.,6-0,G,29,116,4,2021
132,"Shamar Givance, Evansville (MVC)",Jr.,5-10,G,25,100,4,2021
132,"Kasen Harrison, Lamar University (Southland)",Fr.,6-1,G,25,100,4,2021
132,"Lucas Stieber, Green Bay (Horizon)",So.,6-3,G,25,100,4,2021
132,"Boo Buie, Northwestern (Big Ten)",So.,6-2,G,24,96,4,2021
132,"Jordan Goldwire, Duke (ACC)",Sr.,6-2,G,24,96,4,2021
132,"RJ Nembhard, TCU (Big 12)",Jr.,6-4,G,24,96,4,2021
132,"Jamal Bieniemy, UTEP (CUSA)",Jr.,6-4,G,23,92,4,2021
132,"Elijah Joiner, Tulsa (AAC)",Sr.,6-3,G,22,88,4,2021
132,"Isaac Bonton, Washington St. (Pac-12)",Sr.,6-3,G,21,84,4,2021
142,"D'Mitrik Trice, Wisconsin (Big Ten)",Sr.,6-0,G,31,123,4,2021
143,"Javonte Smart, LSU (SEC)",Jr.,6-4,G,28,111,4,2021
144,"Bryson Langdon, Northern Ky. (Horizon)",Jr.,5-9,G,25,99,4,2021
145,"Baylor Scheierman, South Dakota St. (Summit League)",So.,6-6,G,23,91,4,2021
146,"Rasheem Dunn, St. John's (NY) (Big East)",Sr.,6-2,G,22,87,4,2021
147,"Mike DePersia, IUPUI (Horizon)",So.,5-11,G,18,71,3.9,2021
148,"Courtney Ramey, Texas (Big 12)",Jr.,6-3,G,26,102,3.9,2021
149,"Timmy Allen, Utah (Pac-12)",Jr.,6-6,F,25,98,3.9,2021
150,"Keith Smith, Cal Poly (Big West)",Sr.,6-0,G,23,90,3.9,2021
151,"Des Balentine, UIW (Southland)",Sr.,6-0,G,22,86,3.9,2021
151,"A.J. Plitzuweit, South Dakota (Summit League)",So.,6-2,G,22,86,3.9,2021
153,"Rasir Bolton, Iowa St. (Big 12)",Jr.,6-2,G,21,82,3.9,2021
154,"Pinky Wiley, Delaware St. (MEAC)",Sr.,5-11,G,19,74,3.9,2021
155,"Dalano Banton, Nebraska (Big Ten)",So.,6-9,G,27,105,3.9,2021
156,"Czar Perry, CSU Bakersfield (Big West)",Sr.,6-2,G,26,101,3.9,2021
157,"Mike Okauru, UNCW (CAA)",Sr.,6-3,G,17,66,3.9,2021
158,"Ethan Thompson, Oregon St. (Pac-12)",Sr.,6-5,G,33,128,3.9,2021
159,"Xavier Bishop, Montana St. (Big Sky)",Sr.,5-8,G,22,85,3.9,2021
160,"Jordan Goodwin, Saint Louis (Atlantic 10)",Sr.,6-3,G,21,81,3.9,2021
161,"Stephan Swenson, Stetson (ASUN)",Fr.,6-2,G,27,104,3.9,2021
162,"Jalen Tate, Arkansas (SEC)",Sr.,6-6,G,32,123,3.8,2021
163,"Tremont Robinson-White, East Carolina (AAC)",Jr.,6-1,G,19,73,3.8,2021
164,"Jayvon Graves, Buffalo (MAC)",Sr.,6-3,G,25,96,3.8,2021
165,"Dayvion McKnight, Western Ky. (CUSA)",Fr.,6-1,G,29,111,3.8,2021
166,"Jarred Godfrey, Purdue Fort Wayne (Horizon)",Jr.,6-5,G,23,88,3.8,2021
167,"Jaheam Cornwall, Gardner-Webb (Big South)",Sr.,6-0,G,26,99,3.8,2021
167,"Elijah Gonzales, ULM (Sun Belt)",Jr.,5-11,G,26,99,3.8,2021
167,"Dru Smith, Missouri (SEC)",Sr.,6-3,G,26,99,3.8,2021
170,"Bryce Fowler, Sacramento St. (Big Sky)",Sr.,6-6,G,20,76,3.8,2021
170,"Khalil Robinson, Howard (MEAC)",So.,5-11,G,5,19,3.8,2021
172,"Nijel Pack, Kansas St. (Big 12)",Fr.,6-0,G,24,91,3.8,2021
173,"Max Abmas, Oral Roberts (Summit League)",So.,6-1,G,28,106,3.8,2021
173,"Neal Quinn, Lafayette (Patriot)",So.,7-0,F,14,53,3.8,2021
175,"Alonzo Verge Jr. , Arizona St. (Pac-12)",Sr.,6-3,G,23,87,3.8,2021
176,"Trey Woodbury, Utah Valley (WAC)",Jr.,6-4,G,22,83,3.8,2021
177,"Fah'Mir Ali, Radford (Big South)",Fr.,5-11,G,26,98,3.8,2021
178,"Ben Vander Plas, Ohio (MAC)",Jr.,6-7,F,25,94,3.8,2021
178,"Shahada Wells, UT Arlington (Sun Belt)",Jr.,6-0,G,25,94,3.8,2021
180,"Courtney Carter, SIUE (OVC)",Jr.,6-1,G,26,97,3.7,2021
181,"Matt Lewis, James Madison (CAA)",Sr.,6-5,G,18,67,3.7,2021
182,"Jamaree Bouyea, San Francisco (WCC)",Sr.,6-2,G,25,93,3.7,2021
182,"Ty Gordon, Nicholls (Southland)",Sr.,6-1,G,25,93,3.7,2021
184,"Remy Martin, Arizona St. (Pac-12)",Sr.,6-0,G,23,85,3.7,2021
185,"Brandon Averette, BYU (WCC)",Sr.,5-11,G,27,99,3.7,2021
185,"Jr. Clay, Tennessee Tech (OVC)",Jr.,6-0,G,24,88,3.7,2021
185,"Sean East II, Bradley (MVC)",So.,6-3,G,24,88,3.7,2021
185,"Michael Green III, Bryant (NEC)",So.,5-11,G,21,77,3.7,2021
185,"Demarcus Sharp, Missouri St. (MVC)",Jr.,6-3,G,21,77,3.7,2021
190,"Marcus Garrett, Kansas (Big 12)",Sr.,6-5,G,29,106,3.7,2021
191,"Malique Jacobs, Kent St. (MAC)",Jr.,6-4,G,23,84,3.7,2021
192,"Manny Camper, Siena (MAAC)",Sr.,6-7,G,17,62,3.6,2021
193,"Michael Flowers, South Alabama (Sun Belt)",Sr.,6-2,G,28,102,3.6,2021
193,"Jalen Cobb, Fordham (Atlantic 10)",Jr.,6-0,G,14,51,3.6,2021
195,"Alex Hunter, Furman (SoCon)",Sr.,5-11,G,25,91,3.6,2021
196,"Eli Scott, LMU (CA) (WCC)",Sr.,6-5,F,22,80,3.6,2021
197,"Connor McCaffery, Iowa (Big Ten)",Jr.,6-5,G,31,112,3.6,2021
198,"Aaron Henry, Michigan St. (Big Ten)",Jr.,6-6,F,28,101,3.6,2021
199,"Jahvon Blair, Georgetown (Big East)",Sr.,6-3,G,25,90,3.6,2021
199,"Quade Green, Washington (Pac-12)",Sr.,6-0,G,25,90,3.6,2021
201,"Sherwyn Devonish, Morgan St. (MEAC)",Jr.,6-1,G,22,79,3.6,2021
202,"Caleb Love, North Carolina (ACC)",Fr.,6-4,G,29,104,3.6,2021
203,"Isaac Likekele, Oklahoma St. (Big 12)",Jr.,6-5,G,24,86,3.6,2021
204,"Ta'lon Cooper, Morehead St. (OVC)",So.,6-4,G,31,111,3.6,2021
205,"Justice Hill, Murray St. (OVC)",So.,6-0,G,26,93,3.6,2021
206,"Max Fiedler, Rice (CUSA)",So.,6-10,F,28,100,3.6,2021
207,"Asante Gist, Iona (MAAC)",Sr.,5-11,G,16,57,3.6,2021
208,"Matthew Lee, Saint Peter's (MAAC)",So.,6-0,G,25,89,3.6,2021
209,"D.J. Carton, Marquette (Big East)",So.,6-2,G,27,96,3.6,2021
209,"Devearl Ramsey, UC Santa Barbara (Big West)",Sr.,6-0,G,27,96,3.6,2021
209,"Tavian Dunn-Martin, Duquesne (Atlantic 10)",Sr.,5-8,G,18,64,3.6,2021
209,"Tyrn Flowers, LIU (NEC)",Sr.,6-9,F,18,64,3.6,2021
213,"Mike McGuirl, Kansas St. (Big 12)",Sr.,6-2,G,29,103,3.6,2021
214,"Malik Curry, Old Dominion (CUSA)",Sr.,6-1,G,20,71,3.6,2021
215,"Anthony Tarke, Coppin St. (MEAC)",Sr.,6-6,G,22,78,3.5,2021
216,"Traci Carter, Hartford (America East)",Sr.,6-0,G,24,85,3.5,2021
216,"Caleb Fields, Arkansas St. (Sun Belt)",So.,6-0,G,24,85,3.5,2021
216,"Shemar Rathan-Mayes, Youngstown St. (Horizon)",Fr.,5-11,G,24,85,3.5,2021
219,"Rollie Worster, Utah St. (Mountain West)",Fr.,6-3,G,26,92,3.5,2021
220,"Trey Pulliam, San Diego St. (Mountain West)",Sr.,6-3,G,28,99,3.5,2021
221,"Zane Martin, Towson (CAA)",Sr.,6-4,G,15,53,3.5,2021
221,"Ben Shungu, Vermont (America East)",Sr.,6-2,G,15,53,3.5,2021
223,"Bryce Daley, UMass Lowell (America East)",Jr.,6-3,G,23,81,3.5,2021
224,"Jamari Wheeler, Penn St. (Big Ten)",Sr.,6-1,G,25,88,3.5,2021
225,"Joseph Girard III, Syracuse (ACC)",So.,6-1,G,28,98,3.5,2021
225,"Michael Weathers, Texas Southern (SWAC)",Sr.,6-2,G,24,84,3.5,2021
225,"Jamir Harris, American (Patriot)",Sr.,6-2,G,10,35,3.5,2021
228,"Cade Cunningham, Oklahoma St. (Big 12)",Fr.,6-8,G,27,94,3.5,2021
229,"Daniel Sackey, Valparaiso (MVC)",Jr.,5-9,G,25,87,3.5,2021
230,"Kenton Eskridge, UT Martin (OVC)",Jr.,6-1,G,23,80,3.5,2021
231,"Grant Golden, Richmond (Atlantic 10)",Sr.,6-10,F,21,73,3.5,2021
232,"Jermaine Jackson Jr., LIU (NEC)",Jr.,5-10,G,15,52,3.5,2021
233,"Ellis Jefferson, Lamar University (Southland)",Sr.,6-0,G,28,97,3.5,2021
234,"Terrell Brown Jr., Arizona (Pac-12)",Sr.,6-1,G,26,90,3.5,2021
234,"Duke Miles, Troy (Sun Belt)",Fr.,6-2,G,26,90,3.5,2021
236,"Trey Calvin, Wright St. (Horizon)",So.,6-0,G,24,83,3.5,2021
236,"Tre Mann, Florida (SEC)",So.,6-5,G,24,83,3.5,2021
238,"Ahsan Asadullah, Lipscomb (ASUN)",Jr.,6-9,C,27,93,3.4,2021
239,"Jhivvan Jackson, UTSA (CUSA)",Sr.,6-0,G,25,86,3.4,2021
240,"DeAndre Williams, Memphis (AAC)",Jr.,6-9,F,21,72,3.4,2021
241,"Darius Perry, UCF (AAC)",Sr.,6-2,G,19,65,3.4,2021
242,"Caleb Hunter, Mississippi Val. (SWAC)",So.,5-11,G,24,82,3.4,2021
243,"David Collins, South Fla. (AAC)",Sr.,6-3,G,22,75,3.4,2021
243,"Saquan Singleton, New Mexico (Mountain West)",Jr.,6-6,G,22,75,3.4,2021
245,"Jhamir Brickus, La Salle (Atlantic 10)",Fr.,5-11,G,25,85,3.4,2021
245,"Jake Stephens, VMI (SoCon)",Jr.,6-8,C,25,85,3.4,2021
247,"Chris Harris, Southeast Mo. St. (OVC)",Jr.,6-3,G,26,88,3.4,2021
247,"Keaton Wallace, UTSA (CUSA)",Sr.,6-3,G,26,88,3.4,2021
249,"Jalin Anderson, LMU (CA) (WCC)",Fr.,6-4,G,21,71,3.4,2021
249,"Savion Lewis, Quinnipiac (MAAC)",Jr.,6-1,G,21,71,3.4,2021
251,"Chris Parker, Liberty (ASUN)",Sr.,6-1,G,29,98,3.4,2021
252,"Themus Fulks, South Carolina St. (MEAC)",Fr.,6-1,G,16,54,3.4,2021
253,"Keyshaun Langley, UNC Greensboro (SoCon)",So.,6-1,G,30,101,3.4,2021
254,"Blaze Nield, Utah Valley (WAC)",Jr.,6-1,G,22,74,3.4,2021
255,"Jacob Young, Rutgers (Big Ten)",Sr.,6-2,G,28,94,3.4,2021
256,"Jalen Ray, Hofstra (CAA)",Sr.,6-2,G,23,77,3.3,2021
257,"Michael Devoe, Georgia Tech (ACC)",Jr.,6-5,G,26,87,3.3,2021
258,"Amorie Archibald, Louisiana Tech (CUSA)",Sr.,6-3,G,32,107,3.3,2021
259,"Craig Beaudion, Cleveland St. (Horizon)",Sr.,6-3,G,27,90,3.3,2021
259,"Devontae Shuler, Ole Miss (SEC)",Sr.,6-2,G,27,90,3.3,2021
261,"Braelon Bush, McNeese (Southland)",Fr.,5-6,G,22,73,3.3,2021
262,"Blondeau Tchoukuiegno, New Hampshire (America East)",Fr.,6-2,G,19,63,3.3,2021
263,"Jose Placer, North Florida (ASUN)",Jr.,6-2,G,23,76,3.3,2021
264,"Isaiah Hill, Fresno St. (Mountain West)",So.,6-0,G,24,79,3.3,2021
265,"Marek Dolezaj, Syracuse (ACC)",Sr.,6-9,F,28,92,3.3,2021
265,"Marquell Fraser, Detroit Mercy (Horizon)",Sr.,6-4,G,21,69,3.3,2021
265,"Terry Nolan Jr., Bradley (MVC)",Jr.,6-4,G,21,69,3.3,2021
268,"Tyree Appleby, Florida (SEC)",Jr.,6-1,G,25,82,3.3,2021
268,"Malachi Smith, Chattanooga (SoCon)",So.,6-4,G,25,82,3.3,2021
270,"Ezra Manjon, UC Davis (Big West)",So.,5-11,G,18,59,3.3,2021
270,"Brandon McKissic, Kansas City (Summit League)",Sr.,6-3,G,18,59,3.3,2021
270,"Obadiah Noel, UMass Lowell (America East)",Sr.,6-4,G,18,59,3.3,2021
273,"Herbert Jones, Alabama (SEC)",Sr.,6-7,G,33,108,3.3,2021
274,"Mekhi Lairy, Miami (OH) (MAC)",Jr.,5-8,G,23,75,3.3,2021
275,"Mason Harrell, Texas St. (Sun Belt)",Jr.,5-9,G,24,78,3.2,2021
275,"Mark Sears, Ohio (MAC)",Fr.,6-1,G,24,78,3.2,2021
275,"Xander Rice, Bucknell (Patriot)",So.,6-3,G,12,39,3.2,2021
278,"Kevin Johnson, Nicholls (Southland)",Sr.,5-10,G,25,81,3.2,2021
279,"Ryan Larson, Wofford (SoCon)",Jr.,6-1,G,21,68,3.2,2021
279,"Omari Moore, San Jose St. (Mountain West)",So.,6-6,G,21,68,3.2,2021
281,"Brendon Brooks, Southern U. (SWAC)",Jr.,5-9,G,17,55,3.2,2021
281,"Luke Loewe, William & Mary (CAA)",Sr.,6-4,G,17,55,3.2,2021
283,"John-Michael Wright, High Point (Big South)",So.,6-1,G,22,71,3.2,2021
284,"Sandro Mamukelashvili, Seton Hall (Big East)",Sr.,6-11,F,27,87,3.2,2021
285,"Juan Felix Rodriguez, Stony Brook (America East)",Jr.,6-0,G,23,74,3.2,2021
286,"Jahvon Quinerly, Alabama (SEC)",Jr.,6-1,G,30,96,3.2,2021
286,"Lavar Batts, Jr. , UNC Asheville (Big South)",Jr.,6-3,G,20,64,3.2,2021
286,"Roscoe Eastmond, Denver (Summit League)",So.,5-9,G,20,64,3.2,2021
286,"Makai Ashton-Langford, Boston College (ACC)",Sr.,6-3,G,15,48,3.2,2021
290,"Braden Norris, Loyola Chicago (MVC)",Jr.,6-0,G,31,99,3.2,2021
291,"Mylik Wilson, Louisiana (Sun Belt)",So.,6-3,G,26,83,3.2,2021
292,"Virshon Cotton, LIU (NEC)",Jr.,6-2,G,16,51,3.2,2021
293,"DQ Nicholas, Southeast Mo. St. (OVC)",So.,6-1,G,27,86,3.2,2021
294,"Andre Jones, Nicholls (Southland)",Sr.,6-4,G,22,70,3.2,2021
294,"Peter Kiss, Bryant (NEC)",Jr.,6-5,G,22,70,3.2,2021
296,"Jermaine Couisnard, South Carolina (SEC)",So.,6-4,G,17,54,3.2,2021
297,"Seikou Sisoho Jawara, Weber St. (Big Sky)",So.,6-3,G,23,73,3.2,2021
298,"Jahlil Jenkins, FDU (NEC)",Sr.,6-0,G,24,76,3.2,2021
299,"Geo Baker, Rutgers (Big Ten)",Sr.,6-4,G,25,79,3.2,2021
299,"Naz Bohannon, Youngstown St. (Horizon)",Sr.,6-5,F,25,79,3.2,2021
299,"Joshuwan Johnson, Ark.-Pine Bluff (SWAC)",Jr.,5-9,G,25,79,3.2,2021
299,"Damion Rosser, New Orleans (Southland)",Sr.,6-4,G,25,79,3.2,2021
299,"Jade Tse, Houston Christian (Southland)",Fr.,6-1,G,25,79,3.2,2021
304,"David Johnson, Louisville (ACC)",So.,6-5,G,19,60,3.2,2021
305,"Dante Harris, Georgetown (Big East)",Fr.,6-0,G,26,82,3.2,2021
306,"Marco Anthony, Utah St. (Mountain West)",Jr.,6-5,G,28,88,3.1,2021
306,"Joel Brown, California (Pac-12)",So.,6-2,G,28,88,3.1,2021
306,"Donte Powers, Sam Houston (Southland)",Jr.,6-2,G,28,88,3.1,2021
309,"Wabissa Bede, Virginia Tech (ACC)",Sr.,6-1,G,22,69,3.1,2021
310,"KJ Hunt, Morehead St. (OVC)",Jr.,6-3,G,30,94,3.1,2021
310,"Richardson Maitre, Samford (SoCon)",Sr.,6-3,G,15,47,3.1,2021
312,"Cam Hayes, NC State (ACC)",Fr.,6-3,G,23,72,3.1,2021
313,"Robert Ford III, Idaho St. (Big Sky)",Jr.,6-0,G,24,75,3.1,2021
313,"Jamel Horton, UAlbany (America East)",Jr.,6-4,G,16,50,3.1,2021
315,"D.J. Stewart Jr., Mississippi St. (SEC)",So.,6-6,G,33,103,3.1,2021
316,"Mike Miles, TCU (Big 12)",Fr.,6-1,G,25,78,3.1,2021
317,"Ahmed Ali, Portland (WCC)",Sr.,5-11,G,17,53,3.1,2021
318,"Tyreke Locure, South Alabama (Sun Belt)",So.,6-0,G,26,81,3.1,2021
319,"Eli Brooks, Michigan (Big Ten)",Sr.,6-0,G,27,84,3.1,2021
