Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
110,"Byron Joshua, Alcorn (SWAC)",Jr.,5-11,G,29,123,4.2,2019
112,"Ja'Kobi Gillespie, Belmont (MVC)",So.,6-0,G,25,106,4.2,2019
113,"Ta'lon Cooper, South Carolina (SEC)",Sr.,6-4,G,34,144,4.2,2019
114,"Steven Ashworth, Creighton (Big East)",Sr.,6-1,G,35,148,4.2,2019
115,"Trey Calvin, Wright St. (Horizon)",Sr.,6-0,G,31,131,4.2,2019
116,"Jaeden Zackery, Boston College (ACC)",Jr.,6-2,G,36,152,4.2,2019
117,"Jahmir Young, Maryland (Big Ten)",Sr.,6-2,G,32,135,4.2,2019
118,"Demarcus Sharp, Austin Peay (ASUN)",Sr.,6-3,G,29,122,4.2,2019
119,"Tommy Bruner, Denver (Summit League)",Sr.,6-1,G,34,143,4.2,2019
120,"Chase Adams, Jackson St. (SWAC)",Sr.,5-8,G,25,105,4.2,2019
121,"Keshon Gilbert, Iowa St. (Big 12)",Jr.,6-4,G,37,155,4.2,2019
122,"Giovanni Santiago, Kent St. (MAC)",Sr.,6-1,G,34,142,4.2,2019
123,"Jaden Ray, Sam Houston (CUSA)",Sr.,5-10,G,29,121,4.2,2019
124,"Saint Thomas, Northern Colo. (Big Sky)",Jr.,6-7,F,32,133,4.2,2019
125,"Khalil Brantley, La Salle (Atlantic 10)",Jr.,6-1,G,33,137,4.2,2019
126,"CJ Fulton, Col. of Charleston (CAA)",Jr.,6-2,G,35,145,4.1,2019
127,"Jasper Floyd, Fairfield (MAAC)",Jr.,6-3,G,37,153,4.1,2019
128,"Johannes Kirsipuu, Central Ark. (ASUN)",So.,6-2,G,32,132,4.1,2019
128,"Brett Thompson, Youngstown St. (Horizon)",Sr.,6-1,G,32,132,4.1,2019
130,"Carlton Carrington, Pittsburgh (ACC)",Fr.,6-4,G,33,136,4.1,2019
131,"Max Abmas, Texas (Big 12)",Sr.,6-0,G,34,140,4.1,2019
132,"Kevin McCullar Jr., Kansas (Big 12)",Sr.,6-7,G,26,107,4.1,2019
133,"Brandon Whitney, Montana (Big Sky)",Sr.,6-1,G,36,148,4.1,2019
133,"BJ Freeman, Milwaukee (Horizon)",Jr.,6-6,G,27,111,4.1,2019
135,"Camian Shell, N.C. A&T (CAA)",So.,5-10,G,31,127,4.1,2019
135,"Javon Small, Oklahoma St. (Big 12)",So.,6-2,G,31,127,4.1,2019
137,"Khristion Courseault, Kansas City (Summit League)",Sr.,6-2,G,32,131,4.1,2019
137,"JaCobi Wood, Murray St. (MVC)",Jr.,6-2,G,32,131,4.1,2019
139,"Tyrese Hunter, Texas (Big 12)",Jr.,6-0,G,33,135,4.1,2019
140,"Leland Walker, Eastern Ky. (ASUN)",So.,6-1,G,31,126,4.1,2019
141,"Bez Mbeng, Yale (Ivy League)",Jr.,6-4,G,33,134,4.1,2019
142,"Robbie Avila, Indiana St. (MVC)",So.,6-10,C,37,150,4.1,2019
142,"Elliot Cadeau, North Carolina (ACC)",Fr.,6-1,G,37,150,4.1,2019
144,"Sean East II, Missouri (SEC)",Sr.,6-3,G,30,121,4,2019
145,"Jaden Clayton, Maine (America East)",So.,6-1,G,32,129,4,2019
145,"Zach Cleveland, Liberty (CUSA)",So.,6-7,F,32,129,4,2019
147,"Hysier Miller, Temple (AAC)",Jr.,6-1,G,36,145,4,2019
147,"Wade Taylor IV, Texas A&M (SEC)",Jr.,6-0,G,36,145,4,2019
149,"Mark Sears, Alabama (SEC)",Sr.,6-1,G,37,149,4,2019
150,"Arturo Dean, FIU (CUSA)",So.,5-11,G,31,124,4,2019
151,"Jaylen Murray, Ole Miss (SEC)",Jr.,5-11,G,32,127,4,2019
152,"Aly Khalifa, BYU (Big 12)",Jr.,6-11,C,29,115,4,2019
152,"Ajay Mitchell, UC Santa Barbara (Big West)",Jr.,6-4,G,29,115,4,2019
154,"Zion Harmon, Bethune-Cookman (SWAC)",So.,6-0,G,28,111,4,2019
155,"Marcus Domask, Illinois (Big Ten)",Sr.,6-6,F,38,150,3.9,2019
156,"Baylor Scheierman, Creighton (Big East)",Sr.,6-7,G,35,138,3.9,2019
157,"Marcus Williams, San Francisco (WCC)",Sr.,6-2,G,34,134,3.9,2019
158,"Adam Clark, Merrimack (NEC)",Fr.,5-10,G,33,130,3.9,2019
159,"Dakota Leffew, Mount St. Mary's (MAAC)",Sr.,6-5,G,30,118,3.9,2019
159,"Earl Timberlake, Bryant (America East)",Sr.,6-6,G,30,118,3.9,2019
161,"Chucky Hepburn, Wisconsin (Big Ten)",Jr.,6-2,G,35,137,3.9,2019
162,"Ray Harrison, Grand Canyon (WAC)",Jr.,6-4,G,34,133,3.9,2019
163,"Cian Medley, Saint Louis (Atlantic 10)",Fr.,5-11,G,33,129,3.9,2019
164,"Jordan Derkack, Merrimack (NEC)",So.,6-5,G,32,125,3.9,2019
164,"Colin Porter, Liberty (CUSA)",So.,5-9,G,32,125,3.9,2019
166,"Duke Deen, Bradley (MVC)",Sr.,5-8,G,35,136,3.9,2019
167,"Neal Quinn, Richmond (Atlantic 10)",Sr.,7-0,C,33,128,3.9,2019
168,"Rob Dillingham, Kentucky (SEC)",Fr.,6-2,G,32,124,3.9,2019
169,"Marion Humphrey, A&M-Corpus Christi (Southland)",Sr.,6-3,G,30,116,3.9,2019
170,"Keishawn Davidson, Belmont (MVC)",Sr.,6-2,G,33,127,3.8,2019
171,"Austin Benigni, Navy (Patriot)",So.,5-10,G,31,119,3.8,2019
171,"PJ Haggerty, Tulsa (AAC)",Fr.,6-3,G,31,119,3.8,2019
173,"Jimmy Clark III, Duquesne (Atlantic 10)",Sr.,6-3,G,37,142,3.8,2019
174,"Ezra Manjon, Vanderbilt (SEC)",Sr.,6-0,G,30,115,3.8,2019
175,"Myles Rice, Washington St. (Pac-12)",Fr.,6-3,G,35,134,3.8,2019
176,"Tyler Robertson, Portland (WCC)",Sr.,6-6,G,33,126,3.8,2019
176,"Jakari Spence, Monmouth (CAA)",Sr.,6-0,G,33,126,3.8,2019
178,"Jordan Johnson, New Orleans (Southland)",Sr.,6-1,G,32,122,3.8,2019
178,"Jacari Lane, North Ala. (ASUN)",So.,6-0,G,32,122,3.8,2019
180,"Kasen Harrison, Winthrop (Big South)",Sr.,6-2,G,31,118,3.8,2019
181,"Matthew Lee, Missouri St. (MVC)",Sr.,6-0,G,29,110,3.8,2019
